review_id,comment,score,reference_label
gp:AOqpTOHoZm5fpQE6tHKqWnp2d36f5uxTv2jmQwpg48G33Za2ZOYFWlHLsNuLm3JKf9nWdAhcpstPwSNvu108Vg,"OK, I love the app, it's great, but the notifications just doesn't work, they are broken, and it's the main feature I'm looking for, fix it in order to give you the five starts",5,positive
gp:AOqpTOEukubmrczdnsUDBZ8lZuz-5Gb8Qhg8x4uFXKLRI5QutA37cY4m1QJRDcx23NOR2NEMfjH5PWHYcZ1W-w,Way over priced for what it does. Not worth it!,1,negative
gp:AOqpTOE9-nasybxrEwwifkWLsBq731T3HfDNDWrwjwQHMHf_MhHqmy6HWU9Mih35KzA-By6DcbyHFbbpyXPUgQ,"So it's good. I payed for pro but the issue I'm having is adding my routine to my timeline because whenever I try and add it, it takes me to edit my routine. It's really annoying because I'd like my routine in one clean place. If this is fixed I'd definitely rate it 4 stars",2,negative
gp:AOqpTOE-vjvRMtTQ00NvJyRewRreppmYDZuUMJnzU42wqqBSK4bvY9iouOFnODqhDDp2iK7dd6gjUsU-vXD7b-I,Some daily tasks just disappear a minute after I tick them. This bug is affecting me for about a week now and I'm already tired of it.,3,neutral
gp:AOqpTOFry2Rel0f5VtcvddLwcqJA-has0oCFqHVtPMiE4HI2gQkhjfWHCveU_5ey11AU3dzIPoLu-DL3LKJGxWU,Excellent replacement for Wunderlist! A nice feature would be to automatically delete completed tasks from certain lists...or an option to print only the active list. On my iPad I nearly hit print with 400 pages of completed tasks! Other than that it's perfect.,4,positive
gp:AOqpTOHwLPSwI4cJAEZ0H5MHS2aeSg6kIGgH0VUBv1OY6FpRDdENlbmZYBXjjvpyoC_eYlCnSr6ptWIE7wqCUA,"The ability to prioritize and assign dates has been awesome in two major ways. First, the underlying stress of not knowing if I'm missing something is way down. I've kept other to-do lists, but they get so bloated and it's easy to lose track of what is really important, and then the very process of going through to check became a job in itself. The second way this app has changed my life is professionally. I answer emails quickly and finish easy things I need to do for teammates first.",5,positive
gp:AOqpTOEj-h7tFePIe5Y6IUJhL46qpYtoBy3CrFyc0w8gRtT0hcWTy3uOvIkFtnxv8nDkgQ_a0DAB8NSz4VQrQw,Themes and location based reminders are under subscription. Both are free on most of apps like this. Thanks but no. I'll pass and keep using Google keep,2,negative
gp:AOqpTOE8gVHYOj7xEzZu93l-s_pAO3N6JPj2MwpELSuRfv29g4mOXfgI62vi86nysoQk5x4CF9b-7Ln0EKrKUjA,I love the concept & look of this mobile app & the desktop version. I wish I could set recurring tasks or add time reminders to tasks. You also can't set reminders if you add an event directly into Artful Agenda. You have to add it to your Google calendar first to set the reminder then let it sync to Artful Agenda. I've paid for the year subscription & I'm really hoping it has more functionality by the end of my subscription or I won't be renewing.,4,positive
gp:AOqpTOHp9qEb0I2rOZPyNL1aXhZrA5tDsSMFeZB8ZhxB49AimZGpqF7-o1peLtwGaHyHTuG3juf5-AC7AQetaw,This app is easy to use but my biggest issue is that when i add notes or check off tasks when off line they dont save,3,neutral
gp:AOqpTOHCAE7qUrXG7wtmpKUJ_dmCyKv7j0004gVW_6INdU_FDziFEAVD7IKRahYkc_ggq0TLJ4LlsM1i81M_Lik,"Great app, most of the features with reasonable limitations are available in the free plan already. Pomo sometimes doesn't work though, the timer just gets stuck at 25:00 after it starts",4,positive
gp:AOqpTOEz491xbyfQqF9pMRoxtQNCNPx-ujnd86RA2jNRZiSn8ppktrjngrRRHLdNKyyzTAMQ_3yhdthKK4c1Dg,It was okay but when I tried to set a reminder for 15 minutes from now it said reminders set in the past will not show. That is extremely inconvenient and annoying . I tried setting it for 15 minutes from now but didn't work. Would have given five stars if it wasn't for this issue,2,negative
gp:AOqpTOHXvkDsjDb51IeoHfGApDGlQw8qfc6qWNzltKpyr5q2QJ82ZpL6k5WEERBy9Yni3xU98hekHaORXNSUcw,"I don't know why but this app doesn't function well on my phone. I have enabled all the settings but whenever I try to open this app it says ""forest"" keeps stopping. I love this app, but I want a way out of this problem.",3,neutral
gp:AOqpTOFJlYKntKux2gp5QvWRGAbv9pH8yNvevm6FFdapG2Zp52z7hXY6sJDeBxeYEE9lTiEGWLFoDp4A4eChEA,The tutorial looks simple and a good layout but when I make an entry 9 out of 10 times it disappears and I need to re-enter it. Half the time dosent work,1,negative
