review_id,comment,score,reference_label,title,department,class_name
13365,"This sweater is so beautiful on. it is thick material, but does not make you look boxy. it fits so nicely and is flattering. the design is just gorgeous. if you are considering this sweater-- get it, you won't regret it!

i'm normally a small (4-6) and i ordered a small. it fits true to size. the fit is *perfect* so if you want it slightly more relaxed, order one size up.",5,positive,Stunning!,Tops,Sweaters
19834,"This piece is almost what i want... i tried on the white version in an xs and it felt a little too large for me, even though it's meant to be a looser fit. the buttercup yellow behind the lace is very pretty - i especially love that part of this tank. it provides a nice contrast and allows the detail to stand out. the navy is also nice (it was on display next to the white and looks better in person than online). what i didn't like was the texture of the spandex on the back portion. it looks like",4,positive,,Tops,Knits
18722,Really like this blouse but am returning for a larger size. much too tight in the upper arms and somewhat tight in the chest - overall i like it.,4,positive,Nice blouse,Tops,Blouses
10635,"These are the perfect light weight relaxing summer pants!
the fabric is soft and light, and has some stretch, so i think they can be worn more fitted way, too. 
i don't want to show off my bottom half of my body shape, so these are perfect ones to be a bit loose to covers the silhouette but still looks feminine & not too loose. 
i''m 5'3, 115 lb and usually wear 25-26 jeans, 25 petite gave me the perfect relaxed look without losing the feminine look. i think 24 could fit as well, but would sn",5,positive,Perfect summer pants,Bottoms,Pants
7348,These look nothing like the picture! they are super high-waisted & longer than they look in this picture. i felt as if i was wearing a pair of jeans from the 90's that just fit terribly. i thought they were going to be a pair of cropped wide legs & they are far from it. the color was also much lighter than shown in picture. super unflattering & just not for me. they're going back...,2,negative,Terrible cut,Bottoms,Jeans
6321,"I ordered this shirt and was happy to see that it looks just like it does online -- i love the rusty orange and pale blue contrast with the navy. the navy blue underlayer is so flattering, and the sheer sleeves are feminine and lovely. the shape and pattern are forgiving. this brand is really hitting it out of the park these days. this blouse runs a bit smaller than some meadow rue. if you're between sizes (especially arm-wise), i'd order up. otherwise just get your regular size. the body is flo",5,positive,Gorgeous and unique,Tops,Blouses
2494,"On the hanger, this looks like a great lbd. on me, not quite. the bell shape of this dress made it appear that i was carrying extra weight in the middle.  for reference, i tried a 0p, and i'm 5,1"", 102#, and 34a.",4,positive,Not quite the right fit,Dresses,Dresses
6889,Love this cardigan! i've been searching for a comfortable lounge type of sweater and this is perfect. the sleeves are a bit tighter than the body. but i would wear it over a tank top so it is comfortable. i am 125 lb and 5'5' and i ordered my usual m.,5,positive,,Intimate,Lounge
18809,"I was immediately drawn to the ochre yellow color of this dress and it's stitch and pleat details and was happy to score it early enough in the season still in my size and preferred color option. unlike other reviewers, i was not turned off by the ribbing at the neck and arm lines. i received the dress yesterday, am wearing it today, and have already received compliments from even the most sour-faced co-workers who can't give a compliment or share casual conversation in the hallway. the sunny ye",5,positive,"Great dress, very happy, recommended!",Dresses,Dresses
5446,"I loved this jacket! it's exactly what i was looking for. i set out to find a lightweight sweater or jacket that would keep me warm and also versatile enough to wear with different outfits. this definitely fit the bill! in addition, it's really soft and not at all itchy, which was a concern i had since it was wool and i ordered it online. i have received a bunch of compliments! i definitely recommend it!",5,positive,"Warm, soft and lightweight",Tops,Sweaters
15279,"Several months ago i bought the byron lars pieced brocade dress (size 10) it's a little large through the torso area but with the belt it fits good enough. since i have loved this dress so much i wanted another byron lars dress so i bought the carissima sheath and the sunrose dress both in a 10. they both were way too big so i ordered a size 8 and they both just barely fit ??? oh was i disappointed....so one more try, i ordered this dress the allusione sheath size 10, and yepeee it fits perfect",5,positive,Third time is the charm !!!!,Dresses,Dresses
5051,The stitched pattern on this shirt is so pretty! it fits loosely and looks good with a slimmer bottom. it is a little bit itchy but i didn't feel i needed to wear something underneath.,4,positive,Love the embellishment,Tops,Knits
